"client_id","birthday","gender","monthly_salary"
220479,1954-03-13,m,62000.0
185677,1980-09-12,m,93000.0
143901,1961-03-21,m,93000.0
185704,1968-07-20,f,51000.0
78686,1981-12-29,f,59000.0
143940,1977-09-14,m,64000.0
125987,2000-06-20,f,57000.0
186174,1991-09-03,f,95000.0
61671,1999-03-03,m,79000.0
160830,1993-02-07,m,96000.0
176767,2000-03-17,f,100000.0
92241,1962-03-03,f,80000.0
187340,1990-10-13,m,58000.0
128911,1998-03-14,m,63000.0
47541,1991-03-10,m,75000.0
64937,1967-06-28,m,69000.0
99464,1992-09-14,m,77000.0
10096,1988-03-12,m,82000.0
220562,2002-05-05,m,71000.0
220586,2001-08-05,m,79000.0
220565,1974-06-28,m,59000.0
220571,2001-11-03,m,53000.0
220570,2003-05-01,m,58000.0
100717,1997-12-28,f,51000.0
28582,1979-02-09,m,85000.0
218801,2000-06-03,m,97000.0
185758,2001-04-03,f,71000.0
220595,1991-12-14,m,77000.0
220620,1998-08-14,f,78000.0
219772,1996-04-19,f,81000.0
188741,1977-07-02,m,91000.0
177144,1996-10-04,m,99000.0
70632,1980-02-26,f,88000.0
220645,2001-07-13,m,77000.0
32641,1998-05-09,m,61000.0
185512,1990-09-10,f,83000.0
111927,1996-01-12,m,94000.0
185755,1989-03-07,f,98000.0
185864,2001-11-21,m,64000.0
204206,2000-11-20,f,88000.0
155434,1975-04-22,f,95000.0
23970,1987-02-17,m,77000.0
185694,1990-07-17,m,74000.0
34677,1993-07-07,m,54000.0
185879,2001-05-05,m,98000.0
106293,1962-04-11,m,68000.0
220695,1980-02-20,m,51000.0
60060,1980-12-05,m,86000.0
12577,1969-12-15,m,63000.0
217421,2002-10-25,m,75000.0
186394,1987-01-11,f,65000.0
92076,1987-04-29,m,54000.0
172930,2001-05-07,m,86000.0
185453,1986-03-24,m,65000.0
67076,1995-12-13,m,61000.0
44758,1962-07-16,f,76000.0
220702,1973-05-18,m,65000.0
90045,1973-06-14,f,55000.0
114564,1996-04-23,f,90000.0
184643,1979-12-13,m,74000.0
176946,1958-06-10,m,54000.0
185494,1989-02-27,f,71000.0
209106,2002-06-14,m,93000.0
222779,2003-03-16,f,89000.0
183683,1993-12-21,f,64000.0
140277,1986-12-27,m,80000.0
168478,1997-08-15,f,83000.0
186283,2001-12-22,f,53000.0
127342,1989-06-18,m,93000.0
145083,1986-05-07,m,52000.0
131662,1995-07-10,m,89000.0
179734,1983-02-04,m,57000.0
177717,1990-12-25,f,88000.0
204633,2001-06-04,f,75000.0
30845,1993-07-04,m,87000.0
185847,1992-02-10,m,63000.0
177423,1986-05-31,m,73000.0
188169,1993-06-29,m,94000.0
18557,1996-05-08,f,54000.0
22224,1991-09-07,m,72000.0
223879,1990-12-29,m,64000.0
10101,1992-10-19,m,75000.0
12905,1996-08-28,m,67000.0
167044,2000-06-15,f,98000.0
103910,1997-12-12,m,51000.0
134114,1981-04-12,m,70000.0
22808,1994-07-05,m,90000.0
186834,1973-06-17,f,73000.0
25310,1996-08-17,m,60000.0
119026,1964-09-23,f,82000.0
186318,2000-05-20,f,57000.0
187288,1996-06-17,m,75000.0
136583,1963-07-20,m,63000.0
43897,1957-03-30,m,85000.0
177092,1981-03-15,f,71000.0
182620,1999-12-04,m,59000.0
164416,1962-10-11,m,78000.0
185939,1968-03-10,m,78000.0
185427,1988-07-31,f,91000.0
186798,1985-12-28,m,96000.0
87817,1969-11-24,m,66000.0
19944,1990-10-07,m,60000.0
137295,1974-11-27,f,56000.0
186531,1968-05-20,f,69000.0
220785,1981-12-16,f,82000.0
72562,1962-02-21,f,51000.0
214147,1973-11-27,m,87000.0
220852,1961-10-31,f,82000.0
28525,1994-01-23,m,75000.0
165463,1992-04-14,f,75000.0
32867,1995-07-24,f,79000.0
185562,1995-04-23,m,99000.0
185855,1986-04-28,f,80000.0
89180,1992-07-15,m,77000.0
186481,1984-11-27,f,91000.0
186344,1998-08-15,m,72000.0
125659,1995-09-29,m,81000.0
165650,1993-09-15,f,80000.0
179448,1999-11-11,f,80000.0
133044,1964-08-08,m,56000.0
126644,1988-05-22,m,84000.0
187094,1963-02-01,f,73000.0
13646,1970-08-04,f,76000.0
185807,1991-03-25,m,91000.0
141427,1999-08-20,m,77000.0
77950,1999-05-30,m,70000.0
220861,1994-05-27,m,97000.0
141541,1977-01-26,m,96000.0
6512,1983-07-13,f,61000.0
185577,1976-05-18,m,73000.0
220841,1994-11-20,m,77000.0
71356,1996-02-18,m,84000.0
220910,2003-05-30,m,58000.0
65068,1982-03-31,m,56000.0
87811,1985-03-11,m,86000.0
84380,1977-06-13,m,82000.0
51025,1969-02-18,m,66000.0
151921,1973-05-01,f,79000.0
120880,1995-12-19,f,92000.0
220902,2003-05-15,m,100000.0
63417,1967-03-18,m,86000.0
228921,1962-11-07,f,95000.0
170223,1989-03-14,m,90000.0
220893,2000-10-16,m,99000.0
186817,1986-09-07,m,52000.0
219751,2003-05-17,m,66000.0
55110,1971-12-02,m,57000.0
103641,1993-10-30,f,57000.0
148949,1998-07-19,m,58000.0
177497,1989-07-20,f,100000.0
181007,2000-06-02,m,86000.0
187710,1995-08-12,f,65000.0
47552,1997-05-22,f,85000.0
186168,1967-01-17,m,86000.0
100285,1984-09-09,f,97000.0
186229,1979-08-19,m,76000.0
185668,1965-01-01,m,97000.0
186096,1998-12-11,f,68000.0
220941,1989-01-07,m,83000.0
106869,1964-08-01,f,64000.0
132581,2000-12-21,m,100000.0
220935,2001-07-09,m,54000.0
186410,1973-11-28,m,52000.0
185963,1999-10-04,f,57000.0
157222,1989-07-17,m,64000.0
186554,1964-03-08,f,87000.0
180185,1997-07-03,f,56000.0
207285,1995-10-25,f,99000.0
220956,2003-02-11,m,66000.0
113431,1989-09-04,m,83000.0
103826,1982-08-10,m,95000.0
179670,1980-03-04,m,97000.0
211470,2002-02-20,m,89000.0
219414,1992-11-19,m,69000.0
221056,1987-02-07,m,92000.0
215659,2003-02-21,m,90000.0
49890,1970-04-13,f,68000.0
218171,2000-11-16,m,52000.0
221049,1997-10-03,m,65000.0
184078,2000-12-16,m,68000.0
6150,1997-05-26,m,94000.0
127911,1966-06-12,m,71000.0
169897,1999-11-19,f,66000.0
150864,1979-05-31,f,92000.0
96684,1971-12-31,f,84000.0
221108,1982-09-30,m,57000.0
186675,2002-01-12,m,89000.0
221075,1972-10-04,m,55000.0
175443,2001-11-19,m,57000.0
145482,2002-03-24,m,57000.0
184196,1978-12-04,f,80000.0
89110,1998-09-22,m,88000.0
154053,1994-06-10,m,65000.0
221103,2001-03-07,m,90000.0
168214,1988-12-12,m,64000.0
182938,2001-11-13,f,92000.0
221112,2001-01-26,f,67000.0
197003,2001-09-18,m,77000.0
183250,1974-05-20,f,65000.0
186861,1988-10-04,f,61000.0
221160,2002-08-08,m,59000.0
22525,1984-03-16,f,77000.0
156334,1997-01-20,f,96000.0
198468,2000-09-19,m,65000.0
81258,1981-04-05,m,53000.0
25387,1970-04-02,f,55000.0
161252,1987-08-11,f,76000.0
221186,1998-11-01,f,98000.0
185815,1996-01-26,f,70000.0
204720,2003-02-08,m,91000.0
69773,1997-05-31,m,89000.0
185832,2001-05-18,f,61000.0
223080,1987-04-11,m,96000.0
60990,1983-09-17,m,62000.0
176728,1999-03-18,m,88000.0
164393,1997-11-04,m,68000.0
217141,2003-03-17,f,80000.0
97890,1990-09-30,m,75000.0
221205,1992-06-22,f,97000.0
150936,1999-06-14,f,79000.0
210273,2002-12-17,m,68000.0
221227,1981-01-26,m,99000.0
221287,2001-12-20,m,95000.0
56856,1997-06-10,m,55000.0
185485,1991-12-30,m,82000.0
48442,1998-04-01,m,85000.0
213500,1997-09-25,m,52000.0
187559,2000-02-04,f,87000.0
187398,1996-05-18,m,74000.0
161977,1970-05-06,m,85000.0
178131,1999-03-01,m,79000.0
135501,1985-12-17,m,89000.0
96373,1997-06-13,m,77000.0
135976,1974-07-25,f,62000.0
185830,1964-06-25,f,68000.0
215989,2001-05-05,m,65000.0
47097,1964-11-20,m,89000.0
164272,2002-03-09,f,75000.0
154474,1991-08-27,m,77000.0
221288,2000-04-29,m,99000.0
221289,1982-03-28,m,84000.0
197079,2001-09-17,m,67000.0
221270,2001-06-30,f,82000.0
207580,2002-01-31,m,71000.0
185809,1989-05-29,m,61000.0
221343,2000-11-05,m,61000.0
208406,2001-09-05,f,80000.0
168210,1993-05-17,f,55000.0
221358,1999-07-17,f,87000.0
202147,1982-10-06,f,69000.0
214336,2003-06-10,f,64000.0
108715,1999-04-16,m,100000.0
221407,1998-08-20,m,72000.0
221381,1990-10-01,f,51000.0
85351,1999-02-04,f,55000.0
221398,1978-11-16,m,66000.0
177963,2001-11-27,f,60000.0
107105,1991-08-10,m,50000.0
186449,1998-03-12,m,90000.0
119939,1997-10-20,f,80000.0
194239,2003-01-15,f,79000.0
229027,2001-12-17,m,53000.0
189016,1978-06-21,m,57000.0
194148,1996-11-08,m,91000.0
52511,1981-04-12,f,81000.0
164488,1988-03-02,m,82000.0
150637,2001-11-15,f,65000.0
214801,1998-12-19,f,92000.0
51174,1975-07-06,f,96000.0
90704,1984-02-24,m,76000.0
179975,1996-02-21,f,95000.0
196652,2002-09-06,m,79000.0
221487,1991-02-24,m,73000.0
10047,1987-08-24,m,51000.0
221262,1997-01-05,f,79000.0
221481,1990-01-14,f,62000.0
76938,1987-04-18,m,56000.0
218312,1980-05-04,f,87000.0
200677,1985-03-11,m,82000.0
128008,1989-03-29,m,96000.0
188835,2001-02-13,f,84000.0
52096,1990-10-19,m,64000.0
197438,1981-07-09,f,55000.0
66168,1989-03-20,m,66000.0
43473,1978-07-18,f,89000.0
188991,1960-05-01,m,54000.0
197473,1977-05-06,f,53000.0
