"loan_id","client_id","start_date","loan_amount","due_date","loan_status","scoring_score"
437612,5406,2023-07-01,35000,2023-07-31,5,517.64
442800,5406,2023-07-24,20000,2023-08-23,5,544.69
446334,5406,2023-08-08,45000,2023-09-07,5,653.92
455642,5406,2023-09-19,55000,2023-10-19,5,604.93
357393,5453,2022-07-26,60000,2022-08-25,5,619.72
379026,5453,2022-10-27,22000,2022-11-26,5,612.36
365202,5479,2022-08-29,30000,2022-09-28,5,389.71
362079,5487,2022-08-16,30000,2022-09-15,5,766.69
368577,5487,2022-09-13,40000,2022-10-13,5,741.83
375084,5487,2022-10-11,30000,2022-11-10,5,646.23
381509,5487,2022-11-07,30000,2022-12-07,5,674.71
388953,5487,2022-12-07,75000,2023-01-06,5,606.44
395859,5487,2023-01-05,80000,2023-05-05,5,557.45
419592,5487,2023-04-14,80000,2023-05-14,5,653.05
425803,5487,2023-05-11,80000,2023-06-10,5,653.05
433087,5487,2023-06-12,50000,2023-07-12,5,585.93
438673,5487,2023-07-06,80000,2023-08-05,5,585.93
448620,5487,2023-08-18,50000,2023-11-17,4,623.71
455514,5520,2023-09-18,7000,2023-10-18,5,449.05
461975,5520,2023-10-17,25000,2023-11-16,4,568.83
399887,5535,2023-01-23,60000,2023-02-22,5,543.51
408309,5535,2023-02-27,40000,2023-04-28,5,459.96
416428,5545,2023-03-31,10000,2023-04-30,5,374.41
428835,5545,2023-05-24,30000,2023-06-23,5,506.07
393160,5555,2022-12-23,50000,2023-01-22,5,660.17
416765,5557,2023-04-02,5000,2023-05-02,5,560.55
388232,5561,2022-12-04,25000,2023-05-05,5,256.09
356947,5588,2022-07-24,60000,2022-08-23,5,554.02
369281,5588,2022-09-15,12000,2022-10-15,5,480.17
410883,5593,2023-03-09,45000,2023-06-21,5,446.43
432060,5593,2023-06-07,70000,2023-09-01,4,354.11
354798,5620,2022-07-14,35000,2022-08-13,5,466.84
367799,5632,2022-09-09,10000,2022-10-09,5,524.77
377848,5662,2022-10-22,5000,2022-11-21,5,745.29
382025,5662,2022-11-09,5000,2022-12-09,5,745.29
384588,5662,2022-11-21,5000,2022-12-21,5,745.29
388337,5662,2022-12-05,5000,2023-01-04,5,745.29
390223,5662,2022-12-12,5000,2023-01-11,5,745.29
396644,5662,2023-01-08,5000,2023-02-07,5,682.25
401588,5662,2023-01-29,5000,2023-02-28,5,710.73
403635,5662,2023-02-07,5000,2023-03-09,5,710.73
399995,5688,2023-01-23,5000,2023-02-22,5,507.59
406941,5688,2023-02-21,10000,2023-03-23,5,536.07
360300,5721,2022-08-08,80000,2022-10-07,5,344.97
372965,5721,2022-10-01,50000,2022-10-31,5,484.35
358168,5754,2022-07-29,20000,2022-08-28,5,591.80
408024,5775,2023-02-25,50000,2023-03-27,5,400.82
416675,5775,2023-04-01,60000,2023-05-01,5,527.34
463015,5775,2023-10-21,80000,2023-11-20,4,568.85
366477,5782,2022-09-05,10000,2022-10-05,5,685.55
430421,5782,2023-05-30,20000,2023-06-29,5,766.25
367176,5797,2022-09-07,15000,2022-10-07,5,563.82
374884,5797,2022-10-10,35000,2023-01-08,4,674.81
375964,5841,2022-10-14,80000,2022-11-13,5,568.85
403429,5841,2023-02-06,80000,2023-03-08,5,537.72
374722,5877,2022-10-09,17000,2023-02-06,5,587.07
417486,5898,2023-04-05,40000,2023-05-05,5,452.41
411445,5925,2023-03-11,70000,2023-04-10,5,561.47
418365,5925,2023-04-10,80000,2023-06-09,5,561.47
429806,5925,2023-05-28,50000,2023-06-27,5,561.47
450130,5944,2023-08-25,50000,2023-09-24,5,255.20
379950,5948,2022-10-31,40000,2022-11-30,5,524.14
360835,5995,2022-08-10,40000,2022-10-21,5,438.22
457957,6022,2023-09-28,20000,2023-11-27,4,621.20
379518,6028,2022-10-29,7000,2023-01-30,5,638.75
445742,6035,2023-08-05,20000,2023-09-04,5,444.29
360350,6054,2022-08-08,30000,2022-09-07,5,338.92
364497,6060,2022-08-26,10000,2022-09-25,5,323.35
419851,6060,2023-04-15,10000,2023-05-15,5,431.82
426369,6060,2023-05-15,50000,2023-09-25,5,431.82
398155,6069,2023-01-14,15000,2023-02-13,5,573.03
372707,6072,2022-09-30,40000,2022-11-29,5,486.50
367069,6075,2022-09-07,30000,2022-10-07,5,333.37
463371,6095,2023-10-23,40000,2023-11-22,4,506.64
373875,6100,2022-10-05,50000,2022-12-04,5,250.64
448659,6110,2023-08-18,55000,2023-10-18,5,293.83
460006,6110,2023-10-07,50000,2023-11-06,4,275.82
452074,6118,2023-09-02,40000,2023-10-02,5,619.74
464476,6118,2023-10-27,50000,2023-11-26,4,619.74
352473,6150,2022-07-04,40000,2022-08-03,5,270.24
370129,6150,2022-09-20,42000,2022-10-20,4,298.72
