"loan_id","payment_date","paid_principal","paid_fines","paid_other"
317618,2022-04-12,7970.00,0.00,0.00
430054,2023-06-27,40000.00,0.00,100.00
393860,2023-01-23,27030.00,0.00,0.00
339431,2022-06-08,50000.00,0.00,0.00
422007,2023-05-24,15000.00,0.00,100.00
408257,2023-03-27,20000.00,0.00,0.00
389197,2023-01-07,40000.00,0.00,5710.00
323049,2022-06-06,17550.00,0.00,0.00
444457,2023-08-28,0.00,0.00,100.00
389285,2023-04-06,30000.00,0.00,4380.00
396472,2023-02-04,10000.00,0.00,1290.00
427010,2023-07-14,0.00,0.00,100.00
335771,2022-05-26,60000.00,0.00,0.00
370346,2022-11-23,70000.00,6280.00,8530.00
343943,2022-08-31,30000.00,0.00,4650.00
358271,2022-08-10,10000.00,0.00,1430.00
407089,2023-03-07,50000.00,0.00,0.00
318544,2022-02-28,10000.00,0.00,1333.00
383968,2023-03-02,17850.00,0.00,0.00
437407,2023-07-29,42500.00,0.00,2580.00
377727,2022-11-11,50000.00,0.00,7140.00
344139,2022-06-22,50000.00,0.00,0.00
363038,2022-07-28,0.00,0.00,50.00
401516,2023-06-26,45000.00,15720.00,7430.00
405062,2023-06-19,15000.00,0.00,2580.00
325857,2022-04-09,35000.00,0.00,1440.00
450328,2023-09-25,0.00,0.00,100.00
398431,2023-02-13,25000.00,0.00,3570.00
351983,2022-07-29,5000.00,0.00,770.00
374436,2022-10-13,40000.00,0.00,2000.00
441415,2023-09-16,0.00,0.00,100.00
415201,2023-04-07,10000.00,0.00,100.00
422891,2023-05-25,0.00,0.00,100.00
423751,2023-08-28,6000.00,0.00,1090.00
344516,2022-06-30,20000.00,0.00,0.00
420003,2023-05-18,5000.00,0.00,1750.00
375386,2022-11-11,20000.00,0.00,2850.00
456197,2023-10-20,20000.00,0.00,100.00
429911,2023-07-28,0.00,0.00,100.00
348989,2022-08-18,20000.00,0.00,4650.00
330340,2022-07-29,30000.00,0.00,4650.00
320593,2022-07-01,20000.00,2770.00,3100.00
316803,2022-04-11,35000.00,0.00,0.00
330239,2022-08-08,40000.00,0.00,6200.00
419113,2023-08-10,10000.00,0.00,100.00
365928,2022-09-21,10000.00,0.00,1430.00
395861,2023-01-11,20000.00,0.00,0.00
368674,2022-09-29,40000.00,0.00,2000.00
450843,2023-09-19,40000.00,0.00,100.00
367153,2022-12-19,2430.00,0.00,3570.00
374664,2022-10-30,20000.00,0.00,0.00
355922,2022-08-09,18000.00,0.00,2570.00
397650,2023-04-14,0.00,0.00,100.00
316511,2022-03-08,30000.00,0.00,4230.00
351978,2022-08-15,15000.00,0.00,2320.00
447969,2023-10-05,0.00,0.00,100.00
351275,2022-09-01,25000.00,4040.00,3870.00
371246,2022-12-19,7940.00,0.00,2060.00
408952,2023-03-09,40000.00,0.00,0.00
359113,2022-09-01,35000.00,0.00,2540.00
346619,2022-10-08,0.00,5000.00,0.00
354512,2022-08-10,20000.00,0.00,0.00
362268,2022-09-08,15000.00,0.00,4140.00
337316,2022-05-31,50000.00,0.00,0.00
327022,2022-06-10,0.00,0.00,2000.00
438782,2023-08-04,60000.00,0.00,3740.00
431624,2023-07-07,0.00,0.00,100.00
330897,2022-07-25,13090.00,0.00,0.00
337164,2022-09-05,8760.00,12120.00,5420.00
458726,2023-11-01,30000.00,0.00,100.00
436922,2023-10-05,10300.00,1640.00,100.00
368251,2022-06-03,0.00,0.00,80.00
386959,2022-12-31,60000.00,0.00,2570.00
418203,2023-05-04,10000.00,0.00,1750.00
431164,2023-06-29,80000.00,0.00,13300.00
428844,2023-07-21,21770.00,0.00,8330.00
418415,2023-11-01,25000.00,0.00,100.00
441513,2023-08-19,0.00,0.00,100.00
336254,2022-05-30,30000.00,0.00,0.00
400146,2023-02-17,36000.00,0.00,5940.00
410096,2023-07-01,13770.00,0.00,4230.00
386840,2022-12-28,30000.00,0.00,2180.00
418543,2023-05-16,50000.00,6990.00,8250.00
344769,2022-06-29,35000.00,0.00,0.00
356689,2022-11-23,35000.00,0.00,2540.00
400183,2023-05-30,35000.00,0.00,5880.00
372788,2022-11-13,30000.00,0.00,4280.00
432990,2023-07-05,30000.00,0.00,100.00
422049,2023-05-26,40000.00,0.00,100.00
327373,2022-04-19,25000.00,0.00,0.00
405274,2023-07-04,40000.00,13980.00,6700.00
430742,2023-09-29,0.00,0.00,1600.00
420754,2023-05-16,25000.00,0.00,1730.00
337634,2022-07-04,20710.00,0.00,9290.00
428154,2023-06-15,12000.00,0.00,100.00
430992,2023-10-03,75000.00,0.00,4980.00
450535,2023-10-27,0.00,0.00,100.00
457845,2023-10-26,45000.00,0.00,100.00
308288,2022-01-11,5000.00,0.00,850.00
397422,2023-04-11,0.00,0.00,100.00
320959,2022-03-29,15910.00,0.00,9090.00
378691,2022-11-17,12150.00,0.00,7850.00
354802,2022-10-04,15000.00,0.00,0.00
401123,2023-03-25,21000.00,0.00,0.00
365448,2022-09-12,10000.00,0.00,1400.00
458379,2023-10-26,0.00,0.00,1420.00
369648,2022-12-16,30000.00,0.00,3990.00
400478,2023-03-23,10000.00,0.00,0.00
431151,2023-07-29,20000.00,0.00,100.00
359638,2022-09-07,35000.00,0.00,2540.00
360647,2022-09-09,25000.00,0.00,0.00
449370,2023-09-18,0.00,0.00,100.00
425444,2023-06-09,10000.00,0.00,1750.00
451090,2023-09-05,25000.00,0.00,4230.00
364437,2022-09-07,10000.00,0.00,710.00
378176,2022-11-23,50000.00,0.00,0.00
429043,2023-08-21,0.00,0.00,100.00
458360,2023-10-20,35000.00,0.00,100.00
416443,2023-05-03,0.00,0.00,100.00
395612,2023-03-01,30000.00,0.00,0.00
394447,2023-01-21,30000.00,0.00,0.00
336514,2022-05-23,8000.00,0.00,0.00
314154,2022-02-25,20000.00,0.00,2400.00
376318,2022-11-04,70000.00,0.00,8740.00
347418,2022-09-05,40000.00,0.00,6200.00
406731,2023-05-04,6700.00,0.00,3400.00
382986,2022-12-13,42500.00,0.00,5460.00
421444,2023-05-15,50000.00,0.00,8350.00
447016,2023-09-11,30000.00,0.00,100.00
323431,2022-03-29,35000.00,0.00,0.00
327280,2022-07-22,20000.00,0.00,0.00
336339,2022-05-18,15000.00,0.00,2320.00
318127,2022-03-01,35000.00,0.00,0.00
417786,2023-05-05,50000.00,0.00,3350.00
395060,2023-04-03,0.00,0.00,100.00
420980,2023-08-22,10000.00,0.00,1750.00
351025,2022-07-22,5000.00,0.00,770.00
358027,2022-10-27,18140.00,0.00,0.00
412305,2023-04-22,0.00,0.00,100.00
382534,2022-12-06,30000.00,0.00,0.00
422978,2023-06-30,0.00,0.00,100.00
394383,2023-01-04,34640.00,0.00,0.00
437338,2023-09-27,23020.00,0.00,7180.00
374377,2022-11-08,30000.00,0.00,0.00
454931,2023-10-05,30000.00,0.00,4840.00
330215,2022-04-21,25000.00,0.00,0.00
369844,2022-10-07,30000.00,0.00,2140.00
412895,2023-04-15,0.00,0.00,100.00
428502,2023-07-21,0.00,0.00,100.00
440053,2023-08-02,20000.00,0.00,100.00
366213,2023-02-23,20000.00,6850.00,3850.00
309546,2022-02-08,20000.00,0.00,2780.00
326866,2022-07-18,19650.00,0.00,0.00
418943,2023-06-12,0.00,0.00,100.00
457312,2023-10-19,40000.00,0.00,100.00
377777,2022-12-21,21430.00,0.00,3570.00
310878,2022-03-23,4990.00,4910.00,5100.00
403928,2023-03-09,40000.00,0.00,6600.00
431382,2023-07-04,15000.00,0.00,2500.00
421850,2023-04-25,42000.00,0.00,7030.00
432096,2023-09-13,9840.00,2950.00,1000.00
339078,2022-07-19,20000.00,0.00,0.00
394088,2023-01-26,50000.00,0.00,0.00
380374,2022-12-01,60000.00,0.00,5780.00
322842,2022-04-12,10000.00,0.00,1550.00
347328,2022-07-13,55000.00,0.00,8520.00
375131,2022-11-01,10000.00,0.00,0.00
316269,2022-03-05,20000.00,0.00,3100.00
358306,2022-08-18,35000.00,0.00,2540.00
357465,2022-11-17,20000.00,0.00,0.00
362616,2022-09-07,15000.00,0.00,2140.00
433717,2023-07-14,0.00,0.00,100.00
447666,2023-10-26,38000.00,0.00,0.00
417327,2023-05-04,13190.00,0.00,3810.00
344413,2022-06-29,20000.00,0.00,3100.00
360849,2022-09-12,50000.00,0.00,7140.00
448834,2023-10-23,40000.00,0.00,100.00
447642,2023-09-07,0.00,0.00,100.00
309774,2022-04-12,10000.00,0.00,0.00
337671,2022-06-07,14300.00,0.00,0.00
440879,2023-09-14,34900.00,0.00,100.00
431621,2023-06-19,30000.00,0.00,100.00
444754,2023-08-31,50000.00,0.00,100.00
416300,2023-04-04,70000.00,0.00,11650.00
312893,2022-02-16,8000.00,0.00,0.00
452054,2023-10-03,30000.00,0.00,4850.00
385473,2023-03-16,50000.00,0.00,4320.00
393563,2023-01-20,15000.00,0.00,0.00
441919,2023-08-22,0.00,0.00,100.00
376782,2023-02-16,40000.00,0.00,0.00
383453,2022-12-15,5720.00,0.00,4280.00
393433,2023-02-04,20000.00,0.00,2850.00
362651,2020-06-18,0.00,0.00,150.00
451225,2023-10-03,0.00,0.00,100.00
384270,2023-02-16,20000.00,0.00,2850.00
423074,2023-05-08,40000.00,0.00,2030.00
418447,2023-05-09,0.00,0.00,100.00
388188,2023-01-04,50000.00,0.00,3640.00
320559,2022-06-16,11000.00,0.00,0.00
429412,2023-08-05,30000.00,0.00,5050.00
363046,2022-10-20,30000.00,0.00,0.00
439859,2023-07-31,10000.00,0.00,1750.00
434564,2023-07-19,30000.00,0.00,100.00
373706,2022-11-15,15000.00,4110.00,2140.00
311860,2022-05-18,42750.00,0.00,630.00
437670,2023-10-08,0.00,0.00,100.00
353533,2022-09-01,6000.00,0.00,860.00
319423,2022-03-18,50000.00,0.00,0.00
397449,2023-04-18,30000.00,10280.00,7380.00
448470,2023-08-23,20000.00,0.00,100.00
422583,2023-06-09,35000.00,0.00,3500.00
409653,2023-05-03,0.00,0.00,100.00
358436,2022-08-26,20000.00,0.00,2560.00
388170,2023-01-14,30000.00,0.00,0.00
402906,2023-04-28,0.00,0.00,2000.00
395925,2023-01-28,13000.00,0.00,1860.00
406752,2023-03-13,10000.00,0.00,1650.00
386378,2023-01-24,15000.00,0.00,0.00
387012,2023-01-21,10000.00,0.00,0.00
432797,2023-07-10,60000.00,0.00,10000.00
391968,2023-01-13,15000.00,0.00,0.00
451069,2023-10-27,0.00,0.00,100.00
393502,2022-12-29,5570.00,0.00,1430.00
441771,2023-09-16,25000.00,0.00,100.00
349369,2022-07-15,15000.00,0.00,2320.00
413213,2023-05-19,0.00,0.00,100.00
321795,2022-03-15,20000.00,0.00,3100.00
412425,2023-04-18,45000.00,0.00,7530.00
338396,2022-09-05,35000.00,0.00,0.00
311138,2022-02-21,60000.00,7020.00,10200.00
378168,2022-11-22,20000.00,0.00,1450.00
311728,2022-02-14,18000.00,0.00,0.00
441303,2023-08-15,21750.00,0.00,8350.00
312965,2022-03-29,30.00,2300.00,3870.00
399729,2023-05-12,0.00,0.00,100.00
415469,2023-04-24,3320.00,0.00,680.00
324267,2022-04-07,55000.00,0.00,4670.00
401234,2023-03-27,5000.01,0.00,0.00
426002,2023-07-04,20000.00,0.00,100.00
362836,2022-09-23,20000.00,0.00,2850.00
398737,2023-05-04,25000.00,0.00,3670.00
414890,2023-04-27,60000.00,0.00,8820.00
395044,2023-02-14,50000.00,0.00,0.00
312922,2022-02-25,10000.00,0.00,1550.00
335558,2022-05-18,3050.00,0.00,0.00
331516,2022-08-19,50000.00,5720.00,7210.00
444632,2023-11-01,0.00,0.00,100.00
426291,2023-09-04,0.00,0.00,100.00
432412,2023-08-07,15000.00,0.00,2580.00
406410,2023-04-19,15870.00,0.00,4230.00
432672,2023-06-15,30000.00,0.00,100.00
406052,2023-04-17,0.00,0.00,100.00
394160,2023-03-08,65170.00,14320.00,9510.00
408960,2023-03-10,20000.00,0.00,3300.00
449561,2023-09-25,20000.00,0.00,3070.00
313802,2022-05-30,45000.00,0.00,5840.00
414511,2023-05-24,0.00,0.00,100.00
342592,2022-07-22,20000.00,0.00,0.00
411342,2023-04-09,10000.00,0.00,1650.00
368077,2022-10-12,50000.00,0.00,3640.00
448056,2023-09-11,40000.00,0.00,100.00
401839,2023-02-20,10000.00,0.00,0.00
435058,2023-09-26,0.00,0.00,100.00
309336,2022-02-04,10000.00,0.00,0.00
331274,2022-05-11,45000.00,0.00,0.00
325581,2022-06-13,10000.00,0.00,1550.00
382800,2022-12-12,20000.00,0.00,1420.00
451626,2023-09-30,0.00,0.00,100.00
357552,2022-08-02,35000.00,0.00,0.00
318788,2022-03-05,30000.00,0.00,0.00
336073,2022-05-12,40000.00,0.00,6200.00
377682,2022-11-14,30000.00,0.00,0.00
348443,2022-10-26,33730.00,9970.00,0.00
397964,2023-05-05,30000.00,0.00,2980.00
415318,2023-04-08,20000.00,0.00,3400.00
450373,2023-09-22,40000.00,0.00,100.00
376628,2022-11-14,15000.00,0.00,1060.00
424247,2023-05-11,40000.00,0.00,100.00
354706,2022-08-12,10000.00,0.00,0.00
360997,2022-09-10,36790.00,0.00,3210.00
337634,2022-09-02,39290.00,0.00,0.00
442748,2023-08-23,40000.00,0.00,100.00
440045,2023-08-01,20000.00,0.00,3400.00
317923,2022-02-15,5000.00,0.00,770.00
378272,2023-02-21,55000.00,0.00,4000.00
424340,2023-05-23,30000.00,0.00,100.00
380018,2022-12-01,35000.00,0.00,11420.00
373435,2022-11-03,3440.00,0.00,1560.00
326393,2022-04-11,5680.00,0.00,2320.00
447379,2023-09-19,0.00,0.00,100.00
311688,2022-02-23,25000.00,0.00,0.00
369767,2022-09-27,34290.00,0.00,5710.00
390009,2023-01-27,29730.00,2970.00,0.00
442261,2023-08-22,0.00,0.00,100.00
411461,2023-04-12,45000.00,0.00,7430.00
325501,2022-04-09,15000.00,0.00,2320.00
404714,2023-02-20,11870.00,0.00,8130.00
311343,2022-04-06,45000.00,0.00,7650.00
355423,2022-08-17,35000.00,0.00,0.00
457681,2023-10-26,25000.00,0.00,4230.00
335296,2022-07-22,20000.00,0.00,3100.00
358383,2022-10-27,3000.00,0.00,0.00
433383,2023-07-15,0.00,0.00,100.00
415596,2023-04-28,35000.00,0.00,5780.00
363877,2022-09-16,30000.00,0.00,2140.00
436762,2023-09-25,10000.00,0.00,100.00
339542,2022-06-10,30000.00,0.00,0.00
386261,2022-12-17,20000.00,0.00,850.00
370192,2022-10-20,8500.00,0.00,0.00
409043,2023-06-01,18030.00,5820.00,8250.00
420046,2023-08-18,19970.00,0.00,100.00
455380,2023-10-17,0.00,0.00,100.00
328803,2022-05-03,20000.00,1840.00,3100.00
415594,2023-04-03,15000.00,0.00,2480.00
408923,2023-06-05,13470.00,10480.00,6050.00
438482,2023-10-05,0.00,0.00,100.00
314032,2022-04-05,20000.00,0.00,0.00
340596,2022-06-10,5000.00,0.00,0.00
360721,2022-10-08,60000.00,0.00,3920.00
457256,2023-10-26,50000.00,0.00,8350.00
410883,2023-06-07,7110.00,0.00,100.00
